round	timestamp	seeds_tried	extensions_found	kept_above_threshold	total_deep_chains	elapsed_s
404	2026-03-30T13:10:01.562321	20	94	21	100	0.0
405	2026-03-30T13:10:01.610736	20	14	9	100	0.0
406	2026-03-30T13:10:01.699688	20	107	82	100	0.1
407	2026-03-30T13:10:01.753447	20	87	44	100	0.0
408	2026-03-30T13:10:01.810032	20	84	60	100	0.0
409	2026-03-30T13:10:01.907276	20	202	106	100	0.1
410	2026-03-30T13:10:02.050917	20	59	29	100	0.1
411	2026-03-30T13:10:02.225430	20	147	136	100	0.1
412	2026-03-30T13:10:02.298953	20	57	28	100	0.0
413	2026-03-30T13:10:02.335780	20	30	20	100	0.0
414	2026-03-30T13:10:02.365633	20	45	19	100	0.0
415	2026-03-30T13:10:02.446168	20	169	98	100	0.1
416	2026-03-30T13:10:02.515493	20	91	67	100	0.1
417	2026-03-30T13:10:02.545474	20	164	90	100	0.0
418	2026-03-30T13:10:02.600869	20	73	66	100	0.0
419	2026-03-30T13:10:02.715154	20	127	104	100	0.1
420	2026-03-30T13:10:02.907043	20	173	85	100	0.1
421	2026-03-30T13:10:02.977199	20	201	44	100	0.0
422	2026-03-30T13:10:03.023706	20	41	27	100	0.0
423	2026-03-30T13:10:03.175571	20	166	126	100	0.1
424	2026-03-30T13:10:03.389011	20	144	113	100	0.2
425	2026-03-30T13:10:03.509601	20	110	76	100	0.1
426	2026-03-30T13:10:03.626109	20	115	84	100	0.1
427	2026-03-30T13:10:03.702610	20	177	71	100	0.0
428	2026-03-30T13:10:03.762064	20	56	40	100	0.0
429	2026-03-30T13:10:03.827000	20	43	21	100	0.0
430	2026-03-30T13:10:03.882960	20	129	37	100	0.0
431	2026-03-30T13:10:03.996376	20	124	96	100	0.1
432	2026-03-30T13:10:04.092628	20	219	180	100	0.1
433	2026-03-30T13:10:04.105245	20	61	0	100	0.0
434	2026-03-30T13:10:04.131948	20	73	39	100	0.0
435	2026-03-30T13:10:04.256504	20	218	168	100	0.1
436	2026-03-30T13:10:04.282157	20	97	21	100	0.0
437	2026-03-30T13:10:04.312607	20	29	10	100	0.0
438	2026-03-30T13:10:04.347878	20	56	35	100	0.0
439	2026-03-30T13:10:04.435008	20	179	157	100	0.1
440	2026-03-30T13:10:04.498056	20	75	41	100	0.0
441	2026-03-30T13:10:04.606324	20	219	136	100	0.1
442	2026-03-30T13:10:04.660420	20	198	115	100	0.0
443	2026-03-30T13:10:04.757620	20	90	73	100	0.1
444	2026-03-30T13:10:04.799134	20	87	39	100	0.0
445	2026-03-30T13:10:04.854868	20	117	97	100	0.0
446	2026-03-30T13:10:04.911496	20	113	82	100	0.0
447	2026-03-30T13:10:04.989303	20	99	65	100	0.1
448	2026-03-30T13:10:05.088450	20	256	210	100	0.1
449	2026-03-30T13:10:05.191333	20	77	69	100	0.1
450	2026-03-30T13:10:05.255334	20	60	21	100	0.0
451	2026-03-30T13:10:05.331765	20	202	161	100	0.1
452	2026-03-30T13:10:05.372579	20	164	87	100	0.0
453	2026-03-30T13:10:05.397352	20	28	9	100	0.0
454	2026-03-30T13:10:05.435372	20	117	32	100	0.0
455	2026-03-30T13:10:05.489594	20	122	89	100	0.0
456	2026-03-30T13:10:05.517280	20	42	20	100	0.0
457	2026-03-30T13:10:05.594837	20	226	196	100	0.1
